,movie,year,imdb,metascore,votes,grossMillions,timeMin
285,Little Miss Sunshine,2006,7.8,80.0,428884,59.89,101
286,Hell or High Water,2016,7.6,88.0,195630,26.86,102
287,Rocky,1976,8.1,70.0,502417,117.24,120
288,X-Men: Days of Future Past,2014,8.0,75.0,647017,233.92,132
289,Wonder,2017,8.0,66.0,131158,132.42,113
290,Young Frankenstein,1974,8.0,80.0,139441,86.3,106
291,Airplane!,1980,7.7,78.0,204886,83.4,88
292,The Hunt,2012,8.3,77.0,266217,0.69,115
293,The Fugitive,1993,7.8,87.0,259805,183.88,130
294,28 Days Later...,2002,7.6,73.0,367184,45.06,113
295,Rush,2013,8.1,74.0,419034,26.95,123
296,Trainspotting,1996,8.1,83.0,619720,16.5,93
297,The Last Samurai,2003,7.7,55.0,389055,111.11,154
298,Manchester by the Sea,2016,7.8,96.0,235779,47.7,137
299,Straight Outta Compton,2015,7.9,72.0,174825,161.2,147
300,What's Eating Gilbert Grape,1993,7.8,73.0,208585,9.17,118
301,The Last of the Mohicans,1992,7.7,76.0,144419,75.51,112
302,Sherlock Holmes,2009,7.6,57.0,571133,209.03,128
303,Argo,2012,7.7,86.0,560077,136.03,120
304,Mary Poppins,1964,7.8,88.0,153133,102.27,139
305,Kick-Ass,2010,7.6,66.0,515611,48.07,117
306,Up,2009,8.2,88.0,904478,293.0,96
307,Dallas Buyers Club,2013,8.0,80.0,426756,27.3,117
308,Deliverance,1972,7.7,80.0,95937,7.06,109
309,The Untouchables,1987,7.9,79.0,270601,76.27,119
310,Amélie,2001,8.3,69.0,686401,33.23,122
311,Platoon,1986,8.1,92.0,370723,138.53,120
312,Lost in Translation,2003,7.7,89.0,398255,44.59,102
313,Mystic River,2003,7.9,84.0,408755,90.14,138
314,Seven Samurai,1954,8.6,98.0,304881,0.27,207
315,Frost/Nixon,2008,7.7,80.0,100659,18.59,122
316,Slumdog Millionaire,2008,8.0,84.0,782339,141.32,120
317,Magnolia,1999,8.0,77.0,282767,22.46,188
318,Dances with Wolves,1990,8.0,72.0,233357,184.21,181
319,Edward Scissorhands,1990,7.9,74.0,434652,56.36,105
320,Star Trek Into Darkness,2013,7.7,72.0,456975,228.78,132
321,Zombieland,2009,7.6,73.0,507045,75.59,88
322,Big Fish,2003,8.0,58.0,405834,66.26,125
323,The Bourne Identity,2002,7.9,68.0,495928,121.66,119
324,Lion,2016,8.0,69.0,204035,51.74,118
325,"Monsters, Inc.",2001,8.0,79.0,789275,289.92,92
326,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,520703,3.9,107
327,Who Framed Roger Rabbit,1988,7.7,83.0,177223,156.45,104
328,Scent of a Woman,1992,8.0,59.0,249386,63.9,156
329,Glory,1989,7.8,78.0,117848,26.83,122
330,Brazil,1985,7.9,84.0,183269,9.93,132
331,Saw,2004,7.6,46.0,369588,56.0,103
332,Being John Malkovich,1999,7.7,90.0,301496,22.86,113
333,National Lampoon's Christmas Vacation,1989,7.6,49.0,147733,71.32,97
334,The Lives of Others,2006,8.4,89.0,346512,11.29,137
335,Million Dollar Baby,2004,8.1,86.0,618450,100.49,132
336,Blue Velvet,1986,7.8,76.0,174679,8.55,120
337,Amadeus,1984,8.3,88.0,358264,51.97,160
338,3:10 to Yuma,2007,7.7,76.0,281692,53.61,122
339,How to Train Your Dragon,2010,8.1,75.0,646858,217.58,98
340,Before Sunrise,1995,8.1,77.0,259102,5.54,101
341,Aladdin,1992,8.0,86.0,360541,217.35,90
342,My Neighbor Totoro,1988,8.2,86.0,273304,1.11,86
343,Citizen Kane,1941,8.3,100.0,385948,1.59,119
344,Shaun of the Dead,2004,7.9,76.0,498941,13.54,99
345,Blow-Up,1966,7.6,82.0,54482,24.795,111
346,Toy Story 3,2010,8.3,92.0,734480,415.0,103
347,Serenity,2005,7.8,74.0,278580,25.51,119
348,American Gangster,2007,7.8,76.0,381641,130.16,157
349,In Bruges,2008,7.9,67.0,381197,7.76,107
350,WALL·E,2008,8.4,95.0,967280,223.81,98
351,3 Idiots,2009,8.4,67.0,327813,6.53,170
352,Monty Python and the Holy Grail,1975,8.2,93.0,488179,1.23,91
353,500 Days of Summer,2009,7.7,76.0,461493,32.39,95
354,Rear Window,1954,8.4,100.0,428324,36.76,112
355,The Apartment,1960,8.3,94.0,156987,18.6,125
356,First Blood,1982,7.7,61.0,219537,47.21,93
357,The Little Mermaid,1989,7.6,88.0,229763,111.54,83
358,Chinatown,1974,8.2,92.0,283929,29.2,130
359,The Machinist,2004,7.7,61.0,348451,1.08,101
360,Office Space,1999,7.7,68.0,236286,10.82,89
361,Groundhog Day,1993,8.0,72.0,565918,70.91,101
362,Halloween,1978,7.8,87.0,220572,47.0,91
363,"O Brother, Where Art Thou?",2000,7.7,69.0,276875,45.51,107
364,As Good as It Gets,1997,7.7,67.0,268187,148.48,139
365,Taken,2008,7.8,51.0,555607,145.0,90
366,Mad Max 2: The Road Warrior,1981,7.6,77.0,162278,12.47,96
367,Memories of Murder,2003,8.1,82.0,125024,0.01,132
368,Gravity,2013,7.7,96.0,750892,274.09,91
369,Downfall,2004,8.2,82.0,322465,5.51,156
370,Raging Bull,1980,8.2,89.0,310996,23.38,129
371,Philadelphia,1993,7.7,66.0,217976,77.32,125
372,Moonrise Kingdom,2012,7.8,84.0,309043,45.51,94
373,Incendies,2010,8.3,80.0,139970,6.86,131
374,The Farewell,2019,7.6,89.0,41920,16.88,100
375,The Warriors,1979,7.6,65.0,90902,22.49,92
376,The Game,1997,7.8,61.0,333878,48.32,129
377,The Fighter,2010,7.8,79.0,331922,93.62,116
378,The Dirty Dozen,1967,7.7,73.0,65236,45.3,150
379,District 9,2009,7.9,81.0,627469,115.65,112
380,Fear and Loathing in Las Vegas,1998,7.6,41.0,253101,10.68,118
381,Rosemary's Baby,1968,8.0,96.0,185411,24.795,137
382,The Secret in Their Eyes,2009,8.2,80.0,185982,6.39,129
383,The Graduate,1967,8.0,83.0,248357,104.95,106
384,The Butterfly Effect,2004,7.6,30.0,441739,57.94,113
385,Dog Day Afternoon,1975,8.0,86.0,229115,50.0,125
386,Fantastic Mr. Fox,2009,7.9,83.0,190902,21.0,87
387,Misery,1990,7.8,75.0,177443,61.28,107
388,Kung Fu Hustle,2004,7.7,78.0,123712,17.11,99
389,Dangal,2016,8.4,79.0,144504,12.39,161
390,Y Tu Mamá También,2001,7.6,88.0,112812,13.62,106
391,Blood Diamond,2006,8.0,64.0,486329,57.37,143
392,Changeling,2008,7.7,63.0,231874,35.74,141
393,The Fly,1986,7.6,79.0,154165,40.46,96
394,The Jungle Book,1967,7.6,65.0,161132,141.84,78
